Horizontal Units,s,,-99.615976214E-3,1.0800000,,Horizontal Units,s,,-99.615976214E-3,1.2400001,,Horizontal Units,s,,-99.615976214E-3,2.4800003,,Horizontal Units,s,,-99.615976214E-3,2.6400001,,Horizontal Units,s,,-99.615976214E-3,520.000040531E-3,,Horizontal Units,s,,-99.615976214E-3,600.000023842E-3,,Horizontal Units,s,,-99.615976214E-3,2.4400001,,Horizontal Units,s,,-99.615976214E-3,2.6000001,
Horizontal Scale,20.0000223E-3,,-99.577575922E-3,1.3200001,,Horizontal Scale,20.0000223E-3,,-99.577575922E-3,1.2400001,,Horizontal Scale,20.0000223E-3,,-99.577575922E-3,2.72000027,,Horizontal Scale,20.0000223E-3,,-99.577575922E-3,2.5600002,,Horizontal Scale,20.0000223E-3,,-99.577575922E-3,760.000050068E-3,,Horizontal Scale,20.0000223E-3,,-99.577575922E-3,600.000023842E-3,,Horizontal Scale,20.0000223E-3,,-99.577575922E-3,2.6800003,,Horizontal Scale,20.0000223E-3,,-99.577575922E-3,2.5200002,
Pt Fmt,Y,,-99.539168179E-3,1.0800000,,Pt Fmt,Y,,-99.539168179E-3,1.2400001,,Pt Fmt,Y,,-99.539168179E-3,2.4800003,,Pt Fmt,Y,,-99.539168179E-3,2.5600002,,Pt Fmt,Y,,-99.539168179E-3,520.000040531E-3,,Pt Fmt,Y,,-99.539168179E-3,600.000023842E-3,,Pt Fmt,Y,,-99.539168179E-3,2.4400001,,Pt Fmt,Y,,-99.539168179E-3,2.5200002,
Yzero,2.0200000,,-99.500767887E-3,1.3200001,,Yzero,2.0200000,,-99.500767887E-3,1.2400001,,Yzero,0.0,,-99.500767887E-3,2.72000027,,Yzero,0.0,,-99.500767887E-3,2.6400001,,Yzero,-2.0600000,,-99.500767887E-3,760.000050068E-3,,Yzero,-2.0600000,,-99.500767887E-3,600.000023842E-3,,Yzero,-3.98000000,,-99.500767887E-3,2.6800003,,Yzero,-3.98000000,,-99.500767887E-3,2.5200002,
Probe Atten,10.0000000,,-99.462367594E-3,1.0800000,,Probe Atten,10.0000000,,-99.462367594E-3,1.2400001,,Probe Atten,10.0000000,,-99.462367594E-3,2.4800003,,Probe Atten,10.0000000,,-99.462367594E-3,2.6400001,,Probe Atten,10.0000000,,-99.462367594E-3,520.000040531E-3,,Probe Atten,10.0000000,,-99.462367594E-3,600.000023842E-3,,Probe Atten,10.0000000,,-99.462367594E-3,2.4400001,,Probe Atten,10.0000000,,-99.462367594E-3,2.6000001,
,,,-99.423967302E-3,1.3200001,,,,,-99.423967302E-3,1.2400001,,,,,-99.423967302E-3,2.72000027,,,,,-99.423967302E-3,2.6400001,,,,,-99.423967302E-3,760.000050068E-3,,,,,-99.423967302E-3,600.000023842E-3,,,,,-99.423967302E-3,2.6800003,,,,,-99.423967302E-3,2.5200002,
Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,1.1600001,,Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,1.2400001,,Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,2.4800003,,Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,2.6400001,,Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,520.000040531E-3,,Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,600.000023842E-3,,Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,2.4400001,,Note,DPO2024B - 21:41:23   18/08/2020,,-99.385559559E-3,2.5200002,
,,,-99.347159266E-3,1.3200001,,,,,-99.347159266E-3,1.2400001,,,,,-99.347159266E-3,2.72000027,,,,,-99.347159266E-3,2.6400001,,,,,-99.347159266E-3,760.000050068E-3,,,,,-99.347159266E-3,600.000023842E-3,,,,,-99.347159266E-3,2.6800003,,,,,-99.347159266E-3,2.5200002,
,,,-99.308758974E-3,1.1600001,,,,,-99.308758974E-3,1.2400001,,,,,-99.308758974E-3,2.4800003,,,,,-99.308758974E-3,2.6400001,,,,,-99.308758974E-3,520.000040531E-3,,,,,-99.308758974E-3,600.000023842E-3,,,,,-99.308758974E-3,2.4400001,,,,,-99.308758974E-3,2.5200002,
,,,-99.270351231E-3,1.3200001,,,,,-99.270351231E-3,1.2400001,,,,,-99.270351231E-3,2.72000027,,,,,-99.270351231E-3,2.6400001,,,,,-99.270351231E-3,760.000050068E-3,,,,,-99.270351231E-3,680.000066757E-3,,,,,-99.270351231E-3,2.6800003,,,,,-99.270351231E-3,2.5200002,
,,,-99.231950939E-3,1.1600001,,,,,-99.231950939E-3,1.2400001,,,,,-99.231950939E-3,2.4800003,,,,,-99.231950939E-3,2.6400001,,,,,-99.231950939E-3,520.000040531E-3,,,,,-99.231950939E-3,600.000023842E-3,,,,,-99.231950939E-3,2.4400001,,,,,-99.231950939E-3,2.5200002,
,,,-99.193550646E-3,1.3200001,,,,,-99.193550646E-3,1.2400001,,,,,-99.193550646E-3,2.72000027,,,,,-99.193550646E-3,2.6400001,,,,,-99.193550646E-3,760.000050068E-3,,,,,-99.193550646E-3,600.000023842E-3,,,,,-99.193550646E-3,2.6800003,,,,,-99.193550646E-3,2.6000001,
